"nowtime","product_id","current_price","price_per_unit","other","vendor","product_name"
2024-06-22 10:55:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-10 23:58:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-11 18:55:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-12 11:53:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-13 10:46:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-14 11:02:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-15 12:29:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-16 10:14:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-17 10:45:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-18 07:36:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-19 08:51:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-20 11:46:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-21 15:25:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-22 10:55:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-23 10:07:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-24 09:30:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-25 10:02:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-26 09:49:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-27 09:41:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-28 11:14:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-29 10:41:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-06-30 10:00:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-01 10:16:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-02 10:17:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-03 17:56:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-04 08:45:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-05 09:03:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-06 11:06:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-07 11:46:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-08 10:22:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-09 08:57:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-10 08:24:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-11 09:23:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-12 08:37:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-13 09:40:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
2024-07-14 11:16:00,710822,"6.99","$0.58/item",NA,"Voila","Omega 3 Eggs"
